Artist Name,Stubhub ID,Year,Month,Date,DayOfWeek,Name,City,State,ZipCode,Cons1,Cons2
21 Savage,104225299,2019,8,10,6,House of Blues Boston,Boston,MA,2215,0,0
21 Savage,104141278,2019,8,14,3,Red Hat Amphitheater,Raleigh,NC,27601,0,0
21 Savage,104141282,2019,8,15,4,Charlotte Metro Credit Union Amphitheatre,Charlotte,NC,28202,0,0
21 Savage,104141283,2019,8,16,5,Coca-Cola Roxy Theatre,Atlanta,GA,30339,0,0
21 Savage ,103605376,2018,5,23,3,NOTO Philadelphia,Philadelphia,PA,19107,0,0
21 Savage ,104036461,2019,4,15,1,Stephen C. O'Connell Center,Gainesville,FL,32611,0,0
21 Savage ,104141229,2019,7,20,6,The Masonic - San Francisco,San Francisco,CA,94108,0,0
21 Savage ,104141935,2019,7,27,6,Fillmore Auditorium Denver,Denver,CO,80218,0,0
40 Years Of The Wall: Brit Floyd,103982253,2019,4,18,4,Genesee Theatre,Waukegan,IL,60085,0,0
5 Seconds of Summer,103491022,2018,4,8,7,Paradise Rock Club,Boston,MA,2215,0,0
5 Seconds of Summer,103491024,2018,4,9,1,Theatre of Living Arts,Philadelphia,PA,19147,0,0
5 Seconds of Summer,103491026,2018,4,10,2,The Fillmore Silver Spring,Silver Spring,MD,20910,0,0
5 Seconds of Summer,103491028,2018,4,12,4,Irving Plaza,New York,NY,10003,0,0
5 Seconds of Summer,103491030,2018,4,15,7,Varsity Theater Minneapolis,Minneapolis,MN,55414,0,0
5 Seconds of Summer,103491032,2018,4,16,1,House of Blues Chicago,Chicago,IL,60654,0,0
5 Seconds of Summer,103491034,2018,4,18,3,Cannery Ballroom,Nashville,TN,37203,0,0
5 Seconds of Summer,103491036,2018,4,19,4,House of Blues Dallas,Dallas,TX,75202,0,0
5 Seconds of Summer,103491038,2018,4,21,6,House of Blues Houston,Houston,TX,77002,0,0
5 Seconds of Summer,103491040,2018,4,23,1,The Van Buren,Phoenix,AZ,85003,0,0
5 Seconds of Summer,103491041,2018,4,25,3,Belasco Theater Los Angeles,Los Angeles,CA,90015,0,0
5 Seconds of Summer,103491043,2018,4,26,4,House of Blues San Diego,San Diego,CA,92101,0,0
5 Seconds of Summer,103491020,2018,4,27,5,Fillmore San Francisco,San Francisco,CA,94115,0,0
5 Seconds of Summer,103569375,2018,6,16,6,Bethel Woods Center For The Arts,Bethel,NY,12720,0,0
5 Seconds of Summer,103553308,2018,6,19,2,KEMBA LIVE!,Columbus,OH,43215,0,0
5 Seconds of Summer,103572863,2018,8,29,3,Mohegan Sun Arena-CT,Uncasville,CT,6382,0,0
5 Seconds of Summer,103565761,2018,8,30,4,Leader Bank Pavilion,Boston,MA,2210,0,0
5 Seconds of Summer,103565763,2018,9,1,6,Allentown Fairgrounds,Allentown,PA,18104,0,0
5 Seconds of Summer,103565764,2018,9,2,7,Veterans United Home Loans Amphitheater at Virginia Beach,Virginia Beach,VA,23456,0,0
5 Seconds of Summer,103566834,2018,9,5,3,Wolf Trap Farm,Vienna,VA,22182,0,0
5 Seconds of Summer,103570797,2018,9,7,5,Allegan County Fair,Allegan,MI,49010,0,0
5 Seconds of Summer,103565765,2018,9,8,6,Byline Bank Aragon Ballroom,Chicago,IL,60640,0,0
5 Seconds of Summer,103565767,2018,9,9,7,Armory - Minneapolis,Minneapolis,MN,55415,0,0
5 Seconds of Summer,103565768,2018,9,11,2,Meadow Brook Amphitheatre,Rochester Hills,MI,48309,0,0
5 Seconds of Summer,103571190,2018,9,13,4,York Fair,York,PA,17404,0,0
5 Seconds of Summer,103565774,2018,9,14,5,PNC Bank Arts Center,Holmdel,NJ,7733,0,0
5 Seconds of Summer,103565780,2018,9,19,3,Coca-Cola Roxy Theatre,Atlanta,GA,30339,0,0
5 Seconds of Summer,103832869,2018,9,20,4,PNC Music Pavilion,Charlotte,NC,28262,0,0
5 Seconds of Summer,103565782,2018,9,24,1,Nashville Municipal Auditorium,Nashville,TN,37201,0,0
5 Seconds of Summer,103565784,2018,9,26,3,Walmart AMP,Rogers,AR,72727,0,0
5 Seconds of Summer,103565785,2018,9,27,4,Pavilion at Toyota Music Factory,Irving,TX,75039,0,0
5 Seconds of Summer,103565788,2018,9,28,5,Smart Financial Centre,Sugar Land,TX,77479,0,0
5 Seconds of Summer,103565791,2018,9,30,7,Fillmore Auditorium Denver,Denver,CO,80218,0,0
5 Seconds of Summer,103565794,2018,10,2,2,Cal Coast Credit Union Open Air Theatre at SDSU,San Diego,CA,92128,0,0
5 Seconds of Summer,103565717,2018,10,3,3,Provident Credit Union Event Center,San Jose,CA,95192,0,0
5 Seconds of Summer,103565796,2018,10,5,5,Paramount Theatre Seattle,Seattle,WA,98101,0,0
5 Seconds of Summer,103565828,2018,10,11,4,Arizona Federal Theatre,Phoenix,AZ,85003,0,0
5 Seconds of Summer,103565830,2018,10,12,5,Greek Theatre - Los Angeles,Los Angeles,CA,90027,0,0
50 Cent,103569214,2018,9,6,4,Ravinia,Highland Park,IL,60035,0,0
50 Cent,103886765,2018,10,27,6,Stereo Garden,Patchogue,NY,11772,0,0
50 Cent,104155419,2019,6,15,6,Treasure Island Resort and Casino - Welch,Welch,MN,55089,0,0
50 Cent,105201321,2022,3,4,5,Memoire at Encore Boston Harbor,Everett,MA,2149,0,0
50 Cent ,104519306,2020,1,5,7,Big Night Live,Boston,MA,2210,0,0
50 Cent ,104870520,2021,6,18,5,Memoire at Encore Boston Harbor,Everett,MA,2149,0,0
50 Cent ,3793970,2022,1,22,6,Big Night Live,Boston,MA,2210,0,0
50 Cent ,105186902,2022,2,4,5,Shrine at MGM Grand Foxwoods,Mashantucket,CT,6338,0,0
6ix9ine,103483943,2018,2,16,5,The Pressroom,Phoenix,AZ,85003,0,0
6ix9ine,103483928,2018,2,21,3,Gas Monkey Live,Dallas,TX,75220,0,0
6ix9ine,103367314,2018,4,28,6,Lake Terrace,Lakewood,NJ,8701,0,0
6ix9ine ,103813929,2018,11,1,4,The Observatory Santa Ana,Santa Ana,CA,92704,0,1
6ix9ine ,103813891,2018,11,1,4,The Observatory Santa Ana,Santa Ana,CA,92704,1,0
93X Nutcracker Featuring 311,104335152,2019,12,14,6,Armory - Minneapolis,Minneapolis,MN,55415,0,0
A Boogie Wit Da Hoodie,103518236,2018,3,22,4,Hertz Arena,Estero,FL,33928,0,0
A Boogie Wit Da Hoodie,103435838,2018,3,23,5,The Fillmore Philadelphia,Philadelphia,PA,19123,0,0
A Boogie Wit Da Hoodie,103559608,2018,4,26,4,Visions Veterans Memorial Arena,Binghamton,NY,13901,0,0
A Boogie Wit Da Hoodie,103560688,2018,7,2,1,The Fillmore Silver Spring,Silver Spring,MD,20910,0,0
A Boogie Wit Da Hoodie,103666297,2018,7,20,5,El Paso County Coliseum,El Paso,TX,79905,0,0
A Boogie Wit Da Hoodie,103702945,2018,7,26,4,The Republik - Honolulu,Honolulu,HI,96814,0,0
A Boogie Wit Da Hoodie,103703842,2018,7,28,6,Golden Nugget - Atlantic City,Atlantic City,NJ,8401,0,0
A Boogie Wit Da Hoodie,103702946,2018,8,30,4,The Studio at the Factory,Dallas,TX,75226,0,0
A Boogie Wit Da Hoodie,103805898,2018,9,29,6,The Forge Joliet,Joliet,IL,60432,0,0
A Boogie Wit Da Hoodie,103836507,2018,10,8,1,The Paramount Huntington,Huntington,NY,11743,0,0
A Boogie Wit Da Hoodie,103836508,2018,10,9,2,Wellmont Theater,Montclair,NJ,7042,0,0
A Boogie Wit Da Hoodie,103853899,2018,10,11,4,The Paramount Huntington,Huntington,NY,11743,0,0
A Boogie Wit Da Hoodie,103903441,2018,12,31,1,Franklin Music Hall,Philadelphia,PA,19123,0,0
A Boogie Wit Da Hoodie,104049598,2019,2,16,6,Ali Baba Lounge,Wilkes-Barre,PA,18701,0,0
A Boogie Wit Da Hoodie,103961380,2019,2,20,3,Emos Austin,Austin,TX,78741,0,0
A Boogie Wit Da Hoodie,103960660,2019,2,21,4,House of Blues Dallas,Dallas,TX,75202,0,0
A Boogie Wit Da Hoodie,103959487,2019,2,23,6,House of Blues Houston,Houston,TX,77002,0,0
A Boogie Wit Da Hoodie,103959488,2019,2,25,1,The Ritz Theater - Ybor City,Tampa,FL,33605,0,0
